Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Internet and Web Programming,26-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet and Web Programming,03-07-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet and Web Programming,10-07-2020,12:00,,13:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,06-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,13-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,20-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,27-06-2020,09:00,,10:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,04-07-2020,09:00,,10:00,FALSE,Online class,,FALSE
Computer Oriented Numerical Analysis,11-07-2020,09:00,,10:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,06-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,13-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,20-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,27-06-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,04-07-2020,10:00,,11:00,FALSE,Online class,,FALSE
Formal Languages and Automaton Theory,11-07-2020,10:00,,11:00,FALSE,Online class,,FALSE
Software Engineering,06-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,13-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,20-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,27-06-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,04-07-2020,11:00,,12:00,FALSE,Online class,,FALSE
Software Engineering,11-07-2020,11:00,,12:00,FALSE,Online class,,FALSE
Internet of Things,06-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,13-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,20-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,27-06-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,04-07-2020,12:00,,13:00,FALSE,Online class,,FALSE
Internet of Things,11-07-2020,12:00,,13:00,FALSE,Online class,,FALSE
